,sigmaT,d18Oc,lon,lat,species,species_idx,y_hat,residuals
174,27.124752521514893,2.24,-53.5,-57.5,bulloides,2,27.056127926817105,-0.0686245946977877
175,27.124752521514893,2.83,-53.5,-57.5,pachy_s,4,27.167442575923832,0.042690054408939915
176,26.7838077545166,1.93,-50.5,-53.5,bulloides,2,26.949674618030006,0.16586686351340418
177,26.7838077545166,1.42,-50.5,-53.5,pachy_s,4,26.704092575445397,-0.07971517907120429
178,24.07767677307129,-0.677,-49.5,20.5,ruber,0,24.741152939129723,0.6634761660584338
179,21.732919216156006,-2.0749999999999997,-48.5,5.5,ruber,0,22.581053215237855,0.848133999081849
180,21.732919216156006,-1.57,-48.5,5.5,sacculifer,1,23.44881357735465,1.715894361198643
181,23.766858100891113,-0.915,-48.5,17.5,ruber,0,24.408502487769773,0.6416443868786601
182,24.730454444885254,-1.119,-48.5,26.5,ruber,0,24.146259659955202,-0.5841947849300517
183,27.327539920806885,2.54,-48.5,57.5,pachy_s,4,27.108378402856214,-0.21916151795067051
184,24.59518003463745,-0.856,-47.5,24.5,ruber,0,24.494918687616085,-0.10026134702136602
185,25.664790153503418,1.1894906981333333,-47.5,41.5,bulloides,2,26.567985762229437,0.9031956087260191
186,25.664790153503418,2.18,-47.5,41.5,pachy_s,4,27.0314689383598,1.3666787848563828
187,27.346160888671875,2.47,-47.5,58.5,pachy_s,4,27.100597803588425,-0.24556308508345026
188,24.63798427581787,-0.7281667095422746,-46.5,-27.5,ruber,0,24.69078372688753,0.05279945106966011
189,24.59246015548706,-1.15,-46.5,-26.5,ruber,0,24.093683834429093,-0.4987763210579672
190,24.59246015548706,-0.42,-46.5,-26.5,sacculifer,1,25.061076042187988,0.4686158867009276
191,21.899953365325928,-1.8599999999999999,-46.5,3.5,ruber,0,22.955438786796613,1.055485421470685
192,21.899953365325928,-1.53,-46.5,3.5,sacculifer,1,23.498159247629513,1.598205882303585
193,22.303279399871826,-2.0333333333333337,-46.5,5.5,ruber,0,22.6600755459298,0.35679614605797383
194,22.303279399871826,-1.58,-46.5,5.5,sacculifer,1,23.42237309738152,1.119093697509694
195,23.766348838806152,-1.5,-46.5,16.5,ruber,0,23.572286945490692,-0.1940618933154603
196,24.547282695770264,-0.965,-46.5,23.5,ruber,0,24.346884407273066,-0.20039828849719754
197,24.970444202423096,-0.4,-46.5,28.5,ruber,0,25.10482847723899,0.13438427481589343
198,24.75766611099243,-1.09,-45.5,-29.5,ruber,0,24.17746520505331,-0.5802009059391224
199,24.75766611099243,-0.38,-45.5,-29.5,sacculifer,1,25.131285999231167,0.3736198882387356
200,24.684541702270508,-1.137952983379365,-45.5,-27.5,ruber,0,24.117134528465,-0.5674071738055062
201,24.684541702270508,-0.782308220863342,-45.5,-27.5,sacculifer,1,24.60989430367824,-0.0746473985922691
202,22.51738452911377,-2.08,-45.5,5.5,ruber,0,22.568612912376803,0.051228383263033805
203,22.51738452911377,-2.18,-45.5,5.5,sacculifer,1,22.39772417454617,-0.11966035456759982
204,23.21159791946411,-1.393,-45.5,11.5,ruber,0,23.717907005181605,0.5063090857174934
205,23.82594585418701,-1.381,-45.5,16.5,ruber,0,23.75760087418857,-0.06834497999844302
206,22.68342638015747,-2.63,-44.5,5.5,ruber,0,21.52908991620444,-1.1543364639530296
207,22.68342638015747,-2.22,-44.5,5.5,sacculifer,1,22.324732875558926,-0.3586935045985449
208,22.7579402923584,-2.4,-44.5,6.5,ruber,0,21.990844797063016,-0.7670954952953828
209,22.7579402923584,-2.18,-44.5,6.5,sacculifer,1,22.40088265130942,-0.3570576410489785
210,25.49962615966797,0.09,-44.5,35.5,ruber,0,25.640497348896776,0.14087118922880748
211,24.80617666244507,-0.01,-43.5,-29.5,sacculifer,1,25.53756839820094,0.7313917357558708
212,22.79800271987915,-2.1266666666666665,-43.5,4.5,ruber,0,22.49786409935129,-0.30013862052786067
213,22.79800271987915,-1.885,-43.5,4.5,sacculifer,1,22.909374105932464,0.11137138605331387
214,22.820497035980225,-2.35,-43.5,5.5,ruber,0,22.082549620567825,-0.7379474154123997
215,22.820497035980225,-2.22,-43.5,5.5,sacculifer,1,22.30952802921528,-0.5109690067649453
216,22.87074851989746,-2.3,-43.5,6.5,ruber,0,22.17316280883255,-0.6975857110649102
217,22.87074851989746,-2.16,-43.5,6.5,sacculifer,1,22.423409295046454,-0.44733922485100663
218,23.82291555404663,-0.8505866666666645,-43.5,15.5,ruber,0,24.518662000521182,0.6957464464745513
219,25.006301879882812,-0.937,-43.5,27.5,ruber,0,24.40902308384642,-0.5972787960363917
220,25.158910274505615,-0.48,-43.5,29.5,ruber,0,24.997677122514585,-0.1612331519910306
221,26.50844430923462,1.2,-43.5,50.5,pachy_d,3,26.563958963886257,0.055514654651638295
222,26.50844430923462,2.09,-43.5,50.5,pachy_s,4,27.020310861837565,0.511866552602946
223,26.61971664428711,1.19,-43.5,51.5,pachy_d,3,26.571487173111606,-0.048229471175503136
224,26.61971664428711,2.2,-43.5,51.5,pachy_s,4,27.027037275712733,0.40732063142562325
225,23.08981943130493,-1.759,-42.5,0.5,ruber,0,23.123894415349206,0.034074984044274004
226,22.92120122909546,-1.84,-42.5,4.5,ruber,0,22.990418862052664,0.06921763295720496
227,22.92120122909546,-1.62,-42.5,4.5,sacculifer,1,23.364965805628298,0.4437645765328391
228,23.41423988342285,-1.828,-42.5,11.5,ruber,0,23.020829555140008,-0.39341032828284384
229,26.51577663421631,1.09,-42.5,50.5,pachy_d,3,26.493887347491803,-0.021889286724505297
230,23.024073123931885,-1.75,-41.5,3.5,ruber,0,23.15271270420478,0.12863958027289613
231,23.024073123931885,-1.7,-41.5,3.5,sacculifer,1,23.228470202833762,0.2043970789018772
232,23.011653423309326,-1.98,-41.5,4.5,ruber,0,22.750944918364542,-0.2607085049447839
233,23.011653423309326,-1.81,-41.5,4.5,sacculifer,1,23.060803639171024,0.04915021586169743
234,23.17194414138794,-1.58476333333333,-41.5,8.5,ruber,0,23.42678400541135,0.25483986402340975
235,25.226046562194824,-0.685999999999999,-41.5,29.5,ruber,0,24.745197601896134,-0.4808489602986903
236,25.423192977905273,-0.507,-41.5,32.5,ruber,0,24.977497941500033,-0.44569503640524033
237,27.070955276489258,3.12110815110156,-40.5,-54.5,bulloides,2,27.157285477442706,0.0863302009534479
238,27.070955276489258,3.120503766666665,-40.5,-54.5,pachy_s,4,27.156968677781745,0.08601340129248669
239,23.233344554901123,-1.8,-40.5,8.5,ruber,0,23.072945249922103,-0.16039930497901977
240,23.233344554901123,-1.46,-40.5,8.5,sacculifer,1,23.62556452897705,0.39221997407592823
241,25.62684154510498,-0.537,-40.5,35.5,ruber,0,24.917723813966393,-0.709117731138587
242,24.65944242477417,-1.23666666666666,-39.5,-21.5,ruber,0,23.9570503514819,-0.7023920732922697
243,24.65944242477417,-0.89,-39.5,-21.5,sacculifer,1,24.478121265426275,-0.1813211593478954
244,24.654125213623047,-1.4849999999999999,-39.5,-20.5,ruber,0,23.593379315616644,-1.0607458980064024
245,24.654125213623047,-1.19,-39.5,-20.5,sacculifer,1,24.030612113277932,-0.6235131003451144
