lat,lon,species,d18Oc,sigmaT
57.9,-25.96,"G, bulloides",1.76,27.03560447692871
59.71,-27.36,"G, bulloides",1.72,27.167404174804688
30.48,-36.95,"G, bulloides",0.3,25.46497917175293
31.43,-36.25,"G, bulloides",0.87,25.46012306213379
32.77,-34.7,"G, bulloides",1.11,25.505178451538086
35.57,-32.55,"G, bulloides",0.5,25.6510009765625
37.12,-30.03,"G, bulloides",0.47,25.8015079498291
40.8,-27.45,"G, bulloides",0.87,26.035219192504883
43.92,-24.97,"G, bulloides",0.64,26.283395767211914
-3.8299,101.2295,"G, bulloides",-2.92,20.714248657226562
-44.15,-14.23,"G, bulloides",1.97089569999999,26.541963577270508
-45.58,86.53,"G, bulloides",1.84,26.496505737304688
-9.646,118.15,"G, bulloides",-2.81,21.593141555786133
-9.539333,118.3005,"G, bulloides",-2.72,21.593141555786133
-9.2235,118.8925,"G, bulloides",-2.52,21.593141555786133
-9.729167,113.024166999999,"G, bulloides",-2.58,21.62821388244629
-8.784667,110.496666999999,"G, bulloides",-1.91,21.71880340576172
-8.784667,110.496666999999,"G, bulloides",-2.59,21.71880340576172
-8.678167,112.868,"G, bulloides",-2.75,21.638036727905273
-8.683833,112.6375,"G, bulloides",-2.49,21.638036727905273
-7.113167,104.642833,"G, bulloides",-2.58,21.147520065307617
-6.476167,102.859332999999,"G, bulloides",-2.77,21.16712760925293
-6.274,103.0085,"G, bulloides",-2.53,21.11730194091797
-5.937167,103.246332999999,"G, bulloides",-2.81,21.128591537475586
-5.868333,103.294167,"G, bulloides",-2.6,21.128591537475586
-5.4778,103.0117,"G, bulloides",-2.61,21.128591537475586
-5.338833,103.657167,"G, bulloides",-2.67,21.128591537475586
-4.6978,101.9572,"G, bulloides",-2.31,20.938047409057617
-4.164833,101.499,"G, bulloides",-2.74,20.938047409057617
-9.595,120.915833,"G, bulloides",-2.56,21.413436889648438
-44.68,80.39,"G, bulloides",1.77424086043532,26.429922103881836
-9.6,121.15,"G, bulloides",-3.05,21.413436889648438
42.0,-32.67,"G, bulloides",0.51,26.104238510131836
-46.03,96.48,"G, bulloides",2.07,26.629831314086914
-46.37,7.04,"G, bulloides",2.24,26.665990829467773
-46.47,88.02,"G, bulloides",1.8354506354,26.55730628967285
-48.39,-56.93,"G, bulloides",2.35,26.553071975708008
-48.88,115.67,"G, bulloides",1.97432116968,26.711862564086914
-48.89,65.96,"G, bulloides",2.55975224625704,26.76072883605957
-48.96,65.93,"G, bulloides",2.69283498199153,26.76072883605957
-53.22,-50.1,"G, bulloides",1.93,26.926740646362305
-54.25,-40.48,"G, bulloides",3.12110815110156,27.072860717773438
47.45,-8.53333333333333,"G, bulloides",0.6,26.54694366455078
55.06,-20.44,"G, bulloides",1.08,26.9207763671875
54.38,-16.21,"G, bulloides",0.75,26.888465881347656
55.6,-14.48,"G, bulloides",0.99,26.935495376586914
58.08,-10.72,"G, bulloides",1.17,27.041555404663086
53.02,-33.31,"G, bulloides",1.59,26.928884506225586
52.28,-35.25,"G, bulloides",1.5,26.87071990966797
43.83,-30.58,"G, bulloides",0.27,26.21860694885254
40.57,-30.95,"G, bulloides",0.51,25.982038497924805
33.47,-12.76,"G, bulloides",-0.06,26.03972625732422
25.4,-16.25,"G, bulloides",-0.21,25.888628005981445
66.8972,8.0423,"G, bulloides",1.69,26.862220764160156
-45.769,-57.941,"G, bulloides",1.94,26.320602416992188
-45.769,-57.941,"G, bulloides",2.15,26.320602416992188
-45.769,-57.941,"G, bulloides",1.54,26.320602416992188
-45.769,-57.941,"G, bulloides",2.45,26.320602416992188
-49.999,0.059,"G, bulloides",2.75,26.861717224121094
-49.999,0.059,"G, bulloides",2.99,26.861717224121094
-49.999,0.059,"G, bulloides",3.01,26.861717224121094
-49.999,0.059,"G, bulloides",2.71,26.861717224121094
-47.402,0.29,"G, bulloides",2.24,26.72548484802246
-47.402,0.29,"G, bulloides",2.08,26.72548484802246
-47.402,0.29,"G, bulloides",2.39,26.72548484802246
-47.402,0.29,"G, bulloides",2.58,26.72548484802246
-46.767,0.628,"G, bulloides",1.79,26.661727905273438
-46.767,0.628,"G, bulloides",2.16,26.661727905273438
-46.767,0.628,"G, bulloides",2.03,26.661727905273438
-45.503,1.251,"G, bulloides",2.28,26.599538803100586
-45.503,1.251,"G, bulloides",2.11,26.599538803100586
-45.769,-57.941,"G, bulloides",1.65,26.320602416992188
-45.503,1.251,"G, bulloides",2.34,26.599538803100586
-57.152,-53.989,"G, bulloides",2.24,27.07926368713379
-56.031,-56.943,"G, bulloides",2.33,26.9600887298584
-53.736,-58.904,"G, bulloides",2.19,26.805862426757812
-53.764,-58.887,"G, bulloides",1.96,26.805862426757812
-53.764,-58.887,"G, bulloides",2.06,26.805862426757812
-53.764,-58.887,"G, bulloides",2.09,26.805862426757812
-53.764,-58.887,"G, bulloides",2.32,26.805862426757812
-55.165,-58.091,"G, bulloides",1.88,26.874696731567383
-55.165,-58.091,"G, bulloides",1.88,26.874696731567383
-55.165,-58.091,"G, bulloides",2.08,26.874696731567383
-55.165,-58.091,"G, bulloides",2.43,26.874696731567383
-55.165,-58.091,"G, bulloides",2.46,26.874696731567383
-55.258,-57.984,"G, bulloides",2.18,26.89380645751953
-55.258,-57.984,"G, bulloides",2.39,26.89380645751953
-55.258,-57.984,"G, bulloides",2.51,26.89380645751953
-55.258,-57.984,"G, bulloides",2.5,26.89380645751953
-55.615,-57.635,"G, bulloides",2.42,26.89380645751953
-55.615,-57.635,"G, bulloides",2.23,26.89380645751953
-55.615,-57.635,"G, bulloides",2.21,26.89380645751953
-56.031,-56.943,"G, bulloides",2.16,26.9600887298584
-53.736,-58.904,"G, bulloides",2.1,26.805862426757812
-45.503,1.251,"G, bulloides",2.5,26.599538803100586
-44.896,1.54,"G, bulloides",1.98,26.53345489501953
-41.854,0.094,"G, bulloides",1.57,26.279821395874023
-41.854,0.094,"G, bulloides",2.13,26.279821395874023
-41.854,0.094,"G, bulloides",2.49,26.279821395874023
-41.854,0.094,"G, bulloides",3.02,26.279821395874023
-48.694,-2.848,"G, bulloides",2.61,26.79819679260254
-48.694,-2.848,"G, bulloides",2.77,26.79819679260254
-48.694,-2.848,"G, bulloides",2.87,26.79819679260254
-48.694,-2.848,"G, bulloides",2.89,26.79819679260254
